Design,Cost,Utility to Science,Failed Downtime,Servicing Margin
129,1.98E+10,6.84E+08,0.41952,1.84E+05
130,1.06E+10,5.74E+08,0.39942,9.30E+05
131,2.69E+10,7.80E+08,0.43913,50984
132,1.86E+10,7.33E+08,0.42841,2.22E+05
133,1.03E+10,6.20E+08,0.43453,1.02E+06
134,3.08E+10,6.19E+08,0.41572,0
135,2.56E+10,7.00E+08,0.4775,80303
136,2.36E+10,3.51E+08,0.38966,1.22E+05
137,1.11E+10,2.33E+08,0.47275,1.07E+06
138,2.45E+10,5.47E+08,0.41678,1.04E+05
139,2.27E+10,4.03E+08,0.41327,1.46E+05
140,1.17E+10,5.13E+08,0.41537,9.43E+05
141,1.55E+10,1.44E+08,0.72402,0
142,1.42E+10,9.59E+07,0.7646,41887
143,1.38E+10,1.43E+08,0.6984,58088
144,1.12E+10,1.39E+08,0.70762,2.20E+05
145,1.37E+10,1.02E+08,0.77912,61284
146,1.34E+10,1.72E+08,0.70837,75213
147,9.55E+09,9.85E+07,0.77026,4.24E+05
148,1.55E+10,8.93E+07,0.65077,0
149,1.42E+10,9.77E+07,0.70418,41784
150,1.38E+10,3.69E+07,0.72399,57516
151,9.97E+09,9.17E+07,0.72574,3.52E+05
152,1.34E+10,2.06E+07,0.71279,74390
153,1.30E+10,5.07E+07,0.74427,90792
154,9.66E+09,1.34E+07,0.70161,4.03E+05
155,1.59E+10,1.52E+08,0.64999,0
156,1.50E+10,1.44E+08,0.69042,21038
157,1.23E+10,2.29E+07,0.67845,1.11E+05
158,9.33E+09,4.79E+07,0.74185,3.64E+05
159,1.45E+10,1.59E+07,0.72729,34038
160,1.13E+10,9.41E+07,0.71468,1.61E+05
161,8.22E+09,3.56E+07,0.72643,5.84E+05
162,1.55E+10,1.74E+08,0.64149,0
163,1.42E+10,7.70E+07,0.73144,41630
164,1.37E+10,8.77E+07,0.67284,62332
165,9.56E+09,3.20E+07,0.73809,4.10E+05
166,1.34E+10,2.11E+07,0.66067,75539
167,1.32E+10,1.15E+08,0.70047,85809
168,9.73E+09,6.09E+07,0.70385,3.93E+05
169,5.39E+10,3.77E+09,0.26223,0
170,4.37E+10,2.83E+09,0.30791,85850
