date,motion,turnout,ayes,noes,abstentions,Speaker1,Speaker2,Speaker3,Speaker4,Speaker5,Speaker6,Speaker7,Speaker8,,searchable,,year,lent_turnout,easter_turnout,off-term_turnout,michaelmas_turnout,lent_count,easter_count,off-term_count,michaelmas_count
4/29/10,THBT the most worthwhile diplomatic currency is the barrel of a gun,129,35,71,23,Daniel Johnson,Frank Cook,Michael Smith,Marc Dafried,Douglas Murray,Rupert Myers,,,,THBT the most worthwhile diplomatic currency is the barrel of a gun Daniel Johnson Frank Cook Michael Smith Marc Dafried Douglas Murray Rupert Myers  ,,,,,,,,,,
4/22/10,THBT the BNP are a Misguided Expression of White Working Class Anger,287,81,104,102,Ray Hill,Mary Fitzgerald,Weyman Bennett,Sue Reid,Fraser Nelson,Mehdi Hasan,,,,THBT the BNP are a Misguided Expression of White Working Class Anger Ray Hill Mary Fitzgerald Weyman Bennett Sue Reid Fraser Nelson Mehdi Hasan  ,,,,,,,,,,
4/3/10,THBT the Conservatives are Ready to Run the Country Again,202,84,118,0,Jeremy Brier,Daniel Zeichner,Shaun Bailey,Norman Lam,Nick Herbert,Charles Clarke,,,,THBT the Conservatives are Ready to Run the Country Again Jeremy Brier Daniel Zeichner Shaun Bailey Norman Lam Nick Herbert Charles Clarke  ,,,,,,,,,,
4/2/10,THW Not Sacrifice Its Liberty for an Increase in Public Safety,330,156,79,95,Dylan Sharpe,Kelvin Mackenzie,Louise Christian,Peter Clarke,Brian Paddick,Peter Bazalgette,,,,THW Not Sacrifice Its Liberty for an Increase in Public Safety Dylan Sharpe Kelvin Mackenzie Louise Christian Peter Clarke Brian Paddick Peter Bazalgette  ,,,,,,,,,,
2/18/10,THW Remove Restrictions to File Sharing Online,212,61,78,73,Gerard Tully,Jo Box,Jim Killock,Richard Mollett,Rick Falkvinge,John Enser,,,,THW Remove Restrictions to File Sharing Online Gerard Tully Jo Box Jim Killock Richard Mollett Rick Falkvinge John Enser  ,,,,,,,,,,
1/28/10,THBT Faith is a Force for Good in the World,358,66,155,137,Reuven Leigh,Peter Cave,David Chillingworth,Jack Gamble,Michael Brodine,Nick Cohen,,,,THBT Faith is a Force for Good in the World Reuven Leigh Peter Cave David Chillingworth Jack Gamble Michael Brodine Nick Cohen  ,,,,,,,,,,
1/21/10,THBT The British Press Has Too Much Freedom,515,96,303,116,Keith Schilling,Tom Bower,James Price,David Leigh,Max Mosley,Alex Thomson,,,,THBT The British Press Has Too Much Freedom Keith Schilling Tom Bower James Price David Leigh Max Mosley Alex Thomson  ,,,,,,,,,,
1/14/10,THB in Obama's Change,521,403,58,60,Sandra Kaiser,Bobby Friedman,Lucas Fear-Segal,Alex Deane,Jonathan Feedland,Tom Grant,,,,THB in Obama's Change Sandra Kaiser Bobby Friedman Lucas Fear-Segal Alex Deane Jonathan Feedland Tom Grant  ,,,,,,,,,,
12/11/09,THBT the West Wasted the Opportunity Presented by the Fall of the Berlin Wall,313,154,83,76,Emyr Jones Parry,Daniel Johnson,Michael Moore,Earl of Ounslow,John Kampfner,Jack Watson,Bruce Kent,Bernard Jenkin,,THBT the West Wasted the Opportunity Presented by the Fall of the Berlin Wall Emyr Jones Parry Daniel Johnson Michael Moore Earl of Ounslow John Kampfner Jack Watson Bruce Kent Bernard Jenkin,,,,,,,,,,
12/3/09,THBT There's More to Life Than Being Really Really Ridiculously Good Looking,279,113,82,84,Olivia Potts,Peter Stringfellow,Lloyd Grossman,Ed Cumming,Bryony Gordon,Jack Watson,,,,THBT There's More to Life Than Being Really Really Ridiculously Good Looking Olivia Potts Peter Stringfellow Lloyd Grossman Ed Cumming Bryony Gordon Jack Watson  ,,,,,,,,,,
12/2/09,TH is Overworked and Undersexed,335,149,114,72,Ashley Hames,Mark Delebanty,Jason Sussman,William Redfern,,,,,,TH is Overworked and Undersexed Ashley Hames Mark Delebanty Jason Sussman William Redfern    ,,,,,,,,,,
11/26/09,THW Legalise Assisted Suicide for All Adults,273,85,132,56,Oxford Union,Cambridge Union,,,,,,,,THW Legalise Assisted Suicide for All Adults Oxford Union Cambridge Union      ,,,,,,,,,,
11/19/09,THBT the Baking Bailout was a Waste of Money,396,127,198,71,Simon Daniel,Patrick Jenkins,Bob Cart,Andrew Gamble,Allen Morgan,David Cleevely,,,,THBT the Baking Bailout was a Waste of Money Simon Daniel Patrick Jenkins Bob Cart Andrew Gamble Allen Morgan David Cleevely  ,,,,,,,,,,
11/18/09,THBT Faith has an Essential Role in Democratic Debate,174,85,63,26,Ibrahim Mogia,Peter Cave,Vivian Wineman,Samantha Stein,Jonathan Chaplin,David Blatherwide,,,,THBT Faith has an Essential Role in Democratic Debate Ibrahim Mogia Peter Cave Vivian Wineman Samantha Stein Jonathan Chaplin David Blatherwide  ,,,,,,,,,,
11/6/09,THBT Blondes Have More Fun,233,122,46,65,Rob Frimpton,Joseph Morpurgo,Chloe MacKenzie,Tom Wilkinson,Katie Bulmer,Tom Skelton,,,,THBT Blondes Have More Fun Rob Frimpton Joseph Morpurgo Chloe MacKenzie Tom Wilkinson Katie Bulmer Tom Skelton  ,,,,,,,,,,
10/29/09,THBT Israel Demands too Much and Gives Too Little in the Peace Process,508,252,114,142,Lord Hannay of Chiswick,Stephen Crabb,Jeremy Corbyn,Denis MacShore,Michael Massih,Ran Gridor,Donald Sassoon,Robin Shepherd,,THBT Israel Demands too Much and Gives Too Little in the Peace Process Lord Hannay of Chiswick Stephen Crabb Jeremy Corbyn Denis MacShore Michael Massih Ran Gridor Donald Sassoon Robin Shepherd,,,,,,,,,,
10/22/09,"THW Make Love, Not War",478,363,56,59,Cambridge Footlights,Oxford Revue,,,,,,,,"THW Make Love, Not War Cambridge Footlights Oxford Revue      ",,,,,,,,,,
10/15/09,THBT Political Correctness is Sane and Necessary,513,221,177,115,Mehdi Hasan,Will Burrows,Robert Sharp,Ann Widdecombe,David Aaronovitch,Alexander Deane,,,,THBT Political Correctness is Sane and Necessary Mehdi Hasan Will Burrows Robert Sharp Ann Widdecombe David Aaronovitch Alexander Deane  ,,,,,,,,,,
8/10/09,THBT We'd Be Better Off if Women Ruled the World,487,53,326,108,Louise Court,Rupert Myers,Emma Wimhurst,James Max,Louise Burfitt-Dons,Edwina Currie,,,,THBT We'd Be Better Off if Women Ruled the World Louise Court Rupert Myers Emma Wimhurst James Max Louise Burfitt-Dons Edwina Currie  ,,,,,,,,,,
7/5/09,TH is Proud of Thatcher's Time as Prime Minister,354,142,138,74,John Redwood,Lucas Fear-Segal,Peter Lilley,Ed Maltby,Edward Leigh,Ian Gibson,,,,TH is Proud of Thatcher's Time as Prime Minister John Redwood Lucas Fear-Segal Peter Lilley Ed Maltby Edward Leigh Ian Gibson  ,,,,,,,,,,
5/11/09,TH has No Confidence in Her Majesty's Government,275,130,101,44,Lucas Fear-Segal,James Arthur Sharpe,James Macintyre,Michael Howard,Luke Pearce,Stephen Parkinson,,,,TH has No Confidence in Her Majesty's Government Lucas Fear-Segal James Arthur Sharpe James Macintyre Michael Howard Luke Pearce Stephen Parkinson  ,,,,,,,,,,
5/3/09,THBT the Tabloids do more harm than good,283,233,33,17,Michael White,Murray Morse,Robert Murat,Louis Charalambous,Shane Murray,Lembit Opik,Peter Bazalgette,,,THBT the Tabloids do more harm than good Michael White Murray Morse Robert Murat Louis Charalambous Shane Murray Lembit Opik Peter Bazalgette ,,,,,,,,,,
5/2/09,THB it's grim up north,208,47,141,20,Elisa Haining,Judith Holdon,Jack Watson,William Redfern,,,,,,THB it's grim up north Elisa Haining Judith Holdon Jack Watson William Redfern    ,,,,,,,,,,
4/23/09,THBT Heroin Should be Selectively Legalised,156,85,33,38,Kate McKenzie,Neil McKeganey,Francis Wilkinson,Kathy Geingell,Danny Kushlick,Richard Lau,,,,THBT Heroin Should be Selectively Legalised Kate McKenzie Neil McKeganey Francis Wilkinson Kathy Geingell Danny Kushlick Richard Lau  ,,,,,,,,,,
3/12/09,"THBT the Turner Prize is a Factory for 'Cold, Mechanical, Conceptual Bullshit'",180,90,52,38,Julien Domercq,Don Foster,David Lee,Lord Renfrew,Lloyd Grossman,Stephen Deuchar,,,,"THBT the Turner Prize is a Factory for 'Cold, Mechanical, Conceptual Bullshit' Julien Domercq Don Foster David Lee Lord Renfrew Lloyd Grossman Stephen Deuchar  ",,,,,,,,,,
2/19/09,TH Regrets the 2012 Olympic Bid,177,77,70,30,Matthew Elliott,Mike Lee,Andrew Gilligan,Jamie Hampton,Ian Sinclair,Sam Dobin,,,,TH Regrets the 2012 Olympic Bid Matthew Elliott Mike Lee Andrew Gilligan Jamie Hampton Ian Sinclair Sam Dobin  ,,,,,,,,,,
1/29/09,THBT all you need is love,295,123,135,37,Jessica Barker-Obrien,John Getkin,Will Pearse,Chris Turner,Katy Bulmer,Tom Skelton,,,,THBT all you need is love Jessica Barker-Obrien John Getkin Will Pearse Chris Turner Katy Bulmer Tom Skelton  ,,,,,,,,,,
1/22/09,THW Rather be Gay,443,129,130,184,Libby Purkes,Stephen Green,James Beattie,Glen Wilson,Balaji Pakichandram,Rupert Myers,,,,THW Rather be Gay Libby Purkes Stephen Green James Beattie Glen Wilson Balaji Pakichandram Rupert Myers  ,,,,,,,,,,
1/15/09,THB the kids are alright,183,58,38,87,Tanya Byron,Lee Elliot-Major,Rupa Huq,Sam Dobin,,,,,,THB the kids are alright Tanya Byron Lee Elliot-Major Rupa Huq Sam Dobin    ,,,,,,,,,,
12/6/08,THW Rather Have a Blue than a First,126,39,63,24,Elliot Bishton,,,,,,,,,THW Rather Have a Blue than a First Elliot Bishton       ,,,,,,,,,,
11/27/08,THBT the War on Terror Has Become an Assault on British Justice,318,270,19,29,Shami Chakrabarti,Giles Robertson,Hannah Perry,Jo Box,Philippe Sands,Douglas Murray,,,,THBT the War on Terror Has Become an Assault on British Justice Shami Chakrabarti Giles Robertson Hannah Perry Jo Box Philippe Sands Douglas Murray  ,,,,,,,,,,
11/20/08,THBT private schools are a public nuisance,363,199,126,38,Michael Syke,Chris Parry,Fiona Millar,Elisa Hainin,Brett Wigdortz,David Green,David Walker,Jack Watson,,THBT private schools are a public nuisance Michael Syke Chris Parry Fiona Millar Elisa Hainin Brett Wigdortz David Green David Walker Jack Watson,,,,,,,,,,
11/13/08,TH Supports the Use of Sharia Law in the UK,318,75,166,77,Mhairi Murdoch,James Dray,Ronald Clouston,Sheng-Wu Li,Sam Block,Max Kasriel,Bob Nimmo,Will Jones,,TH Supports the Use of Sharia Law in the UK Mhairi Murdoch James Dray Ronald Clouston Sheng-Wu Li Sam Block Max Kasriel Bob Nimmo Will Jones,,,,,,,,,,
10/30/08,THBT Cambridge is Institutionally Sexist,657,332,220,105,Natalie Szarek,Hugo Hadlow,Germaine Greer,Simon Baron-Cohen,,,,,,THBT Cambridge is Institutionally Sexist Natalie Szarek Hugo Hadlow Germaine Greer Simon Baron-Cohen    ,,,,,,,,,,
10/23/08,THBT only integration can keep Europe strong,275,196,47,32,Lord Tomlinson,Roger Knapman,Charles Grant,Daniel Harman,Nick Butler,David Campbell,Henre Mariton,Hugo Hadlow,,THBT only integration can keep Europe strong Lord Tomlinson Roger Knapman Charles Grant Daniel Harman Nick Butler David Campbell Henre Mariton Hugo Hadlow,,,,,,,,,,
10/16/08,THBT the Multicultural Experiment has Failed,345,39,206,100,Nigel Hastilow,Bernard Guick,Bruno le Maire,Karen Chouham,Rupert Myers,Tariq Ramadan,,,,THBT the Multicultural Experiment has Failed Nigel Hastilow Bernard Guick Bruno le Maire Karen Chouham Rupert Myers Tariq Ramadan  ,,,,,,,,,,
9/10/08,TH Calls for a Sexual Revolution,380,148,143,89,Susan Quilliam,John Haywood,Peter Tatchell,John Young,Zoe Margolis,Lucas Fear-Segal,,,,TH Calls for a Sexual Revolution Susan Quilliam John Haywood Peter Tatchell John Young Zoe Margolis Lucas Fear-Segal  ,,,,,,,,,,
6/12/08,THW Rather Have a Blue than a First,102,39,63,0,Elliot Bishton,David Eldred-Evans,John Simonett,David Osbourne,Paul Fletcher,William Redfern,,,,THW Rather Have a Blue than a First Elliot Bishton David Eldred-Evans John Simonett David Osbourne Paul Fletcher William Redfern  ,,,,,,,,,,
6/11/08,TH has No Confidence in Her Majesty's Government,268,158,68,42,Oliver Letwin,William Redfern,David Howarth,Daniel Zeichner,Andrew Mitchell,Robert Evans,,,,TH has No Confidence in Her Majesty's Government Oliver Letwin William Redfern David Howarth Daniel Zeichner Andrew Mitchell Robert Evans  ,,,,,,,,,,
5/8/08,THW do anything for money,257,154,103,0,Will Pearse,Christopher Schuller,Jessica Barker-Wren,Alex Steer,Nate Dery,John Gethin,,,,THW do anything for money Will Pearse Christopher Schuller Jessica Barker-Wren Alex Steer Nate Dery John Gethin  ,,,,,,,,,,
5/1/08,THBT Jordan is a feminist icon,399,116,283,0,Louise Court,Louise Chumm,Abi Titmuss,Jo Box,Catherine Townsend,Edwina Currie,Jenny Trent Hughes,Mhairi Murdoch,,THBT Jordan is a feminist icon Louise Court Louise Chumm Abi Titmuss Jo Box Catherine Townsend Edwina Currie Jenny Trent Hughes Mhairi Murdoch,,,,,,,,,,
4/24/08,THW Let in Fewer Immigrants,121,46,75,0,David Conway,Viv Regan,Roger Helmer,Matthew Clifton,Timothy Kirkhope,Gibriel Faal,,,,THW Let in Fewer Immigrants David Conway Viv Regan Roger Helmer Matthew Clifton Timothy Kirkhope Gibriel Faal  ,,,,,,,,,,
4/12/08,THW resurrect the spirit of '68,131,41,54,36,Adam Bott,Mhairi Murdoch,David Fowler,Sam Block,Stephen Eisenhower,Nick Long,,,,THW resurrect the spirit of '68 Adam Bott Mhairi Murdoch David Fowler Sam Block Stephen Eisenhower Nick Long  ,,,,,,,,,,
3/13/08,THBT the best state is that which governs least,79,34,31,14,Lu Wei,Giles Robertson,Madsen Pirie,Jo Box,Nigel Knight,Will Redfern,,,,THBT the best state is that which governs least Lu Wei Giles Robertson Madsen Pirie Jo Box Nigel Knight Will Redfern  ,,,,,,,,,,
3/11/08,THBT the End of the World is Nigh,473,407,28,38,Alastair Roberts,Joe Markham,Liam Williams,Joe Markham,,,,,,THBT the End of the World is Nigh Alastair Roberts Joe Markham Liam Williams Joe Markham    ,,,,,,,,,,
3/6/08,THBT Fairtrade is unfair,111,25,86,0,David R Henderson,Michael Gidney,Rahul Nandkishore,Ian Bretman,Alex Singleton,Mark Galtrey,,,,THBT Fairtrade is unfair David R Henderson Michael Gidney Rahul Nandkishore Ian Bretman Alex Singleton Mark Galtrey  ,,,,,,,,,,
2/28/08,THBT Scotland Should Become Independent (Schools),62,14,31,17,Raveen Segar,Ben Martin,Emily Pearce,Ben Woolgar,Natalie Smith,Joe Bates,Rachel Watson,Tom O'Reilly,,THBT Scotland Should Become Independent (Schools) Raveen Segar Ben Martin Emily Pearce Ben Woolgar Natalie Smith Joe Bates Rachel Watson Tom O'Reilly,,,,,,,,,,
2/18/08,THW Return the Parthenon Marbles to the New Acropolis Museum in Athens,160,114,46,0,Anthony Snodgrass,Jonathan Jones,David Will,Samuel Beaument Bloch,,,,,,THW Return the Parthenon Marbles to the New Acropolis Museum in Athens Anthony Snodgrass Jonathan Jones David Will Samuel Beaument Bloch    ,,,,,,,,,,
2/14/08,THBT Global Warming is a Scare Story,172,41,86,45,Viscount Monckton,Luke Pearce,Nathan Paldor,Tony Juniper,,,,,,THBT Global Warming is a Scare Story Viscount Monckton Luke Pearce Nathan Paldor Tony Juniper    ,,,,,,,,,,
2/7/08,THBT Hunting Animals for Sport is an Act of Intolerable Cruelty,105,62,43,0,Douglas Batchelor,Simon Harb,Bill Swan,Jim Barrington,,,,,,THBT Hunting Animals for Sport is an Act of Intolerable Cruelty Douglas Batchelor Simon Harb Bill Swan Jim Barrington    ,,,,,,,,,,
1/31/08,THW Separate God from the State,124,109,15,0,Summerson,Walker,Sam,Walker,Wooley,Saleby,Seamus Collins,Matthew Jarvis,,THW Separate God from the State Summerson Walker Sam Walker Wooley Saleby Seamus Collins Matthew Jarvis,,,,,,,,,,
1/17/08,THW Privatise Britain's Universities,165,41,124,0,Martin Hacomb,Eric Thomas,Ed Cummings,Helen Valentine,George Freeman,Richard Brande,,,,THW Privatise Britain's Universities Martin Hacomb Eric Thomas Ed Cummings Helen Valentine George Freeman Richard Brande  ,,,,,,,,,,
11/29/07,THBT the comprehensive system is failing Britain's Poor,161,82,79,0,Roland Forxcroft,David Chaytor,Anthony Seldon,Tom James,Peter Hitchens,James Wharton,,,,THBT the comprehensive system is failing Britain's Poor Roland Forxcroft David Chaytor Anthony Seldon Tom James Peter Hitchens James Wharton  ,,,,,,,,,,
11/22/07,THBT all the computer games in the world cannot beat a page of a really good book,112,39,73,0,Richard Lau,Ross Atherton,Madsen Pirie,Peter Molyneux,Madsen Pirie,Ross Atherton,,,,THBT all the computer games in the world cannot beat a page of a really good book Richard Lau Ross Atherton Madsen Pirie Peter Molyneux Madsen Pirie Ross Atherton  ,,,,,,,,,,
11/15/07,"THBT Europe. not Silicon Valley, Will Become the Best Place for Billion Dollar Companies",232,147,85,0,Janeway,Reid Hoffman,Herman Hauser,Ramesh Johari,Neil Rimer,Bandel Carano,Simon Cook,Allen Morgan,,"THBT Europe. not Silicon Valley, Will Become the Best Place for Billion Dollar Companies Janeway Reid Hoffman Herman Hauser Ramesh Johari Neil Rimer Bandel Carano Simon Cook Allen Morgan",,,,,,,,,,
11/12/07,THBT Food is Better Than Sex (Comedy),536,522,14,0,Sam Sword,Cairen,Pete Rieley,Alex Smith,Tom Evans,Matt Doherty,,,,THBT Food is Better Than Sex (Comedy) Sam Sword Cairen Pete Rieley Alex Smith Tom Evans Matt Doherty  ,,,,,,,,,,
11/8/07,THBT Sport Should Rise Above Politics,88,26,62,0,No Records,,,,,,,,,THBT Sport Should Rise Above Politics No Records       ,,,,,,,,,,
11/1/07,THBT Iran Poses a Serious Threat to the World,262,125,137,0,No Records,,,,,,,,,THBT Iran Poses a Serious Threat to the World No Records       ,,,,,,,,,,
10/25/07,TH has No Confidence in Her Majesty's Government,397,302,95,0,Nick Herbert,Quentin Davies,Earl of Onslow,Daniel Zeichner,Iain Duncan Smith,William Redfern,,,,TH has No Confidence in Her Majesty's Government Nick Herbert Quentin Davies Earl of Onslow Daniel Zeichner Iain Duncan Smith William Redfern  ,,,,,,,,,,
10/18/07,THBT Entrepreneurship is a Power House for Social Inclusion,113,81,32,0,Nick Boys Smith,Ali Al Ansari,Greg Parston,Rupert Myers,Ronald Clouston,James Robinson,,,,THBT Entrepreneurship is a Power House for Social Inclusion Nick Boys Smith Ali Al Ansari Greg Parston Rupert Myers Ronald Clouston James Robinson  ,,,,,,,,,,
10/11/07,THBT God is Dead,307,135,172,0,Simon Blackburn,Stephen Green,Rahul Nandkishore,Malcolm Goot,Dennis Collins,Martin Turner,,,,THBT God is Dead Simon Blackburn Stephen Green Rahul Nandkishore Malcolm Goot Dennis Collins Martin Turner  ,,,,,,,,,,
10/4/07,THBT Nuclear Energy is the Solution to the Climate Crisis,234,127,107,0,Stephen Stretton,Tony Juniper,John Earp,Sam Block,Paul Lavelle,David Howarth,,,,THBT Nuclear Energy is the Solution to the Climate Crisis Stephen Stretton Tony Juniper John Earp Sam Block Paul Lavelle David Howarth  ,,,,,,,,,,
5/10/07,THW Not Trust the Conservatives Under Cameron with the Economy,78,39,39,0,David Howarth,Mark Francais,Bob Blizzard,Adam Bott,David Heath,Andrew Mitchell,,,,THW Not Trust the Conservatives Under Cameron with the Economy David Howarth Mark Francais Bob Blizzard Adam Bott David Heath Andrew Mitchell  ,,,,,,,,,,
5/3/07,THBT There is No Time Like the Present (Comedy),276,57,198,21,Giles Robertson,Rory Malarky,James Robinson,Sam Sword,Sam Block,Alex Nash,,,,THBT There is No Time Like the Present (Comedy) Giles Robertson Rory Malarky James Robinson Sam Sword Sam Block Alex Nash  ,,,,,,,,,,
4/26/07,THBT the Benefits of Removing Saddam's Regime Outweigh the Mistakes that Followed,404,180,143,81,Laith Kubba,Yvonne Ridley,Grand Imam Musowi,Abdul Bari Atwan,Bernard Jenkin,Charles Glass,,,,THBT the Benefits of Removing Saddam's Regime Outweigh the Mistakes that Followed Laith Kubba Yvonne Ridley Grand Imam Musowi Abdul Bari Atwan Bernard Jenkin Charles Glass  ,,,,,,,,,,
3/15/07,THBT Gentlemen Prefer Blondes,333,50,117,166,Michael Jacobson,Kev Sutherland,Shariza Mirza,Ed Ho,Sir Dai Llewellyn,Peter Stringfellow,,,,THBT Gentlemen Prefer Blondes Michael Jacobson Kev Sutherland Shariza Mirza Ed Ho Sir Dai Llewellyn Peter Stringfellow  ,,,,,,,,,,
3/8/07,THBT Public Figures have no Right to a Private Life,99,15,75,9,Keith Best,Peter Cui,Bobby Friedman,John Lloyd,Michael Crick,Rupert Myers,,,,THBT Public Figures have no Right to a Private Life Keith Best Peter Cui Bobby Friedman John Lloyd Michael Crick Rupert Myers  ,,,,,,,,,,
3/1/07,THBT Islam is Incompatible with Western Liberalism,475,128,249,98,Jonathan Goldberg,Tim Winter,Mariella Frostrup,Jason McCue,Sam Block,Norman Lamont,,,,THBT Islam is Incompatible with Western Liberalism Jonathan Goldberg Tim Winter Mariella Frostrup Jason McCue Sam Block Norman Lamont  ,,,,,,,,,,
2/15/07,THW Rather Vote Blue than Brown,228,72,119,37,Timothy Gardener,Luke Pearce,George Murphy,Adam Sweresky,Stephen Parkinson,Tim Stanley,,,,THW Rather Vote Blue than Brown Timothy Gardener Luke Pearce George Murphy Adam Sweresky Stephen Parkinson Tim Stanley  ,,,,,,,,,,
2/8/07,TH Blames the Arab Governments for the Israeli-Palestinian Conflict,326,75,100,151,Jeremy Brier,Sami Khinjami,Clive Wolman,Sari Nusseibeh,Lord Janner,Ghayth Armamuyi,,,,TH Blames the Arab Governments for the Israeli-Palestinian Conflict Jeremy Brier Sami Khinjami Clive Wolman Sari Nusseibeh Lord Janner Ghayth Armamuyi  ,,,,,,,,,,
2/1/07,THBT the terrorist threat and other threats to global security can justify military intervention,458,257,106,95,Matthew Jamison,Jean Lambert,Malcolm Rifkind,Craig Murray,Kenneth Clarke,Bianca Jagger,,,,THBT the terrorist threat and other threats to global security can justify military intervention Matthew Jamison Jean Lambert Malcolm Rifkind Craig Murray Kenneth Clarke Bianca Jagger  ,,,,,,,,,,
1/25/07,THBT the day of the nation state is over,252,90,87,75,David Curry,Harold Walker,Tim Stanley,Ed Blain,Joe Devanny,Rupert Myers,,,,THBT the day of the nation state is over David Curry Harold Walker Tim Stanley Ed Blain Joe Devanny Rupert Myers  ,,,,,,,,,,
1/18/07,THBT Civil Liberties Should Not Be Sacrificed for National Security Interests,486,350,62,74,Philippe Sands,Louise Ellman,Tim Stanley,Sam Block,Ross Clark,Adam Bott,,,,THBT Civil Liberties Should Not Be Sacrificed for National Security Interests Philippe Sands Louise Ellman Tim Stanley Sam Block Ross Clark Adam Bott  ,,,,,,,,,,
11/30/06,THW Take From the Rich and Give to the Poor,200,116,42,42,Luke Pearce,David Tite,Neal Lawson,Scott Kelly,Stephen Pound,Nigel Farage,,,,THW Take From the Rich and Give to the Poor Luke Pearce David Tite Neal Lawson Scott Kelly Stephen Pound Nigel Farage  ,,,,,,,,,,
11/23/06,THBT Political Correctness has Gone Too Far,238,143,39,56,Rupert Myers,Mark Ferguson,Lynette Burrows,Sunny Hundal,Anne Atkins,Lindsey German,,,,THBT Political Correctness has Gone Too Far Rupert Myers Mark Ferguson Lynette Burrows Sunny Hundal Anne Atkins Lindsey German  ,,,,,,,,,,
11/16/06,TH Blames United States Foreign Policy for the Terrorist Threat,389,147,165,77,Dave Smith,Khalid Mahmood,Walter Wolfgan,Adam Bott,Adam Price,David Aaronovitch,,,,TH Blames United States Foreign Policy for the Terrorist Threat Dave Smith Khalid Mahmood Walter Wolfgan Adam Bott Adam Price David Aaronovitch  ,,,,,,,,,,
11/13/06,"THBT, left to their own devices, Businesses Would Not Behave Responsibly",109,46,29,34,Edmund Newell,Lucy Neville-Rolfe,Craig Bennet,Andy Wood,David Howarth,Hugh Parnell,,,,"THBT, left to their own devices, Businesses Would Not Behave Responsibly Edmund Newell Lucy Neville-Rolfe Craig Bennet Andy Wood David Howarth Hugh Parnell  ",,,,,,,,,,
11/9/06,THW Make it Harder to Get an Abortion,270,65,170,35,Jenni Scott,Harriet Boulding,Julia Millington,Katy Clark,Michaela O'Sullivan,Evan Harris,,,,THW Make it Harder to Get an Abortion Jenni Scott Harriet Boulding Julia Millington Katy Clark Michaela O'Sullivan Evan Harris  ,,,,,,,,,,
11/6/06,THW Rather Not be English (Comedy),436,241,140,55,Tom Williams,Duncan McNair,Luke Roberts,Olaf Davis,Tom Sharpe,Shazia Mirza,,,,THW Rather Not be English (Comedy) Tom Williams Duncan McNair Luke Roberts Olaf Davis Tom Sharpe Shazia Mirza  ,,,,,,,,,,
11/2/06,TH has No Confidence in Her Majesty's Government,466,205,236,25,Louise Bagshawe,Daniel Zeichman,Vince Cable,Chris Bryant,Michael Howard,Tim Stanley,,,,TH has No Confidence in Her Majesty's Government Louise Bagshawe Daniel Zeichman Vince Cable Chris Bryant Michael Howard Tim Stanley  ,,,,,,,,,,
10/26/06,THBT the UN is a Dead Loss,409,33,361,15,Tom DeWeese,Lord David Hannay,Ted Knight,Salil Shetty,Simon Tisdall,Simon Hughes,,,,THBT the UN is a Dead Loss Tom DeWeese Lord David Hannay Ted Knight Salil Shetty Simon Tisdall Simon Hughes  ,,,,,,,,,,
10/19/06,THBT Religion is the Opiate of the Masses,465,166,189,110,Norman Bacrac,John Gummer,Simon Blackburn,Gurpreet Bhatti,Arif Ahmed,Peter Hitchens,,,,THBT Religion is the Opiate of the Masses Norman Bacrac John Gummer Simon Blackburn Gurpreet Bhatti Arif Ahmed Peter Hitchens  ,,,,,,,,,,
10/12/06,THW Scrap Britain's Nuclear Weapons,316,111,176,29,Kate Hudson,Mark Pritchard,Keith Taylor,Tim Collins,Bruce Kent,Julian Lewis,,,,THW Scrap Britain's Nuclear Weapons Kate Hudson Mark Pritchard Keith Taylor Tim Collins Bruce Kent Julian Lewis  ,,,,,,,,,,
10/5/06,THBT Women are Better Suited to Rule the World,463,113,223,127,John Sergeant,Kev F Sutherland,Diana Ingram,Charles Ingram,Jeremy Vine,Nazanin Afshin-Jam,,,,THBT Women are Better Suited to Rule the World John Sergeant Kev F Sutherland Diana Ingram Charles Ingram Jeremy Vine Nazanin Afshin-Jam  ,,,,,,,,,,
6/15/06,THW Make the Glorification of Terror a Crime,396,63,278,55,Alyson Thompson,Abdurahman Jofar,Tim Stanley,Peter Tatchell,Daragh Grant,Boris Johnson,,,,THW Make the Glorification of Terror a Crime Alyson Thompson Abdurahman Jofar Tim Stanley Peter Tatchell Daragh Grant Boris Johnson  ,,,,,,,,,,
5/18/06,THW Place a Limit on Immigration,131,50,53,28,Andrew Green,Catherine Freschi,Sangeeta Sidhu,Muquim Ahmed,Peter Hitchens,Philip Cole,,,,THW Place a Limit on Immigration Andrew Green Catherine Freschi Sangeeta Sidhu Muquim Ahmed Peter Hitchens Philip Cole  ,,,,,,,,,,
5/11/06,THW Shoot to Kill,110,41,44,25,Jan Berry,Deborah Coles,Christopher Fox,Louise Christian,James Thompson,Ed Ho,,,,THW Shoot to Kill Jan Berry Deborah Coles Christopher Fox Louise Christian James Thompson Ed Ho  ,,,,,,,,,,
5/4/06,THBT Public Schools Benefit the Public,231,105,99,27,Barnaby Lenon,Carol Whitty,Sephen Patriarca,Chris Howard,Lord Lucas,Chris Woodhead,,,,THBT Public Schools Benefit the Public Barnaby Lenon Carol Whitty Sephen Patriarca Chris Howard Lord Lucas Chris Woodhead  ,,,,,,,,,,
