date,motion,turnout,ayes,noes,abstentions,Speaker1,Speaker2,Speaker3,Speaker4,Speaker5,Speaker6,Speaker7,Speaker8,,searchable,,year,lent_turnout,easter_turnout,off-term_turnout,michaelmas_turnout,lent_count,easter_count,off-term_count,michaelmas_count
7/11/13,THW Allow Parents to Choose Their Children's Genes,414,114,213,87,Marek Kohn,John Cottingham,Andy Miah,Thomas Baldwin,Stephen John,Casey Swerner,,,,THW Allow Parents to Choose Their Children's Genes Marek Kohn John Cottingham Andy Miah Thomas Baldwin Stephen John Casey Swerner  ,,2013,3170,773,713,2910,9,4,2,8
7/3/13,THBT Celebrity Culture is the New Opiate of the Masses,299,231,25,43,Chris Rojek,Katie Price,Rosie Keep,Speakman,Lembit Opik,Nick Harris,,,,THBT Celebrity Culture is the New Opiate of the Masses Chris Rojek Katie Price Rosie Keep Speakman Lembit Opik Nick Harris  ,,2014,2442,560,0,0,8,2,0,0
6/13/13,THBT the Two-State Solution is the Only Solution,156,91,26,39,Joel Fenster,Jenny Tonge,Alan Johnson,Caroline Rooney,Alan Mendoz,Ahmed Ali,,,,THBT the Two-State Solution is the Only Solution Joel Fenster Jenny Tonge Alan Johnson Caroline Rooney Alan Mendoz Ahmed Ali  ,,,,,,,,,,
5/16/13,THBT a Society of Giving is Impossible,271,96,117,58,James Suzman,David Halpeth,Felix Martin,Genevieve Vaughan,Keir Martin,Jimmy Wales,Doug Cochran,Lily Cole,,THBT a Society of Giving is Impossible James Suzman David Halpeth Felix Martin Genevieve Vaughan Keir Martin Jimmy Wales Doug Cochran Lily Cole,,,,,,,,,,
5/12/13,THW Ban Affirmative Action,148,47,85,16,Liz Bolshaw,Rob Berkeley,Luke Blackburn,Edward Perez,Tim Squirrell,Joanna Mobed,,,,THW Ban Affirmative Action Liz Bolshaw Rob Berkeley Luke Blackburn Edward Perez Tim Squirrell Joanna Mobed  ,,,,,,,,,,
4/25/13,THBT is it Western Hypocrisy to Condemn Iran's Nuclear Aspirations,198,66,73,59,William Callaghan,John Chilcott,Azadeh Moaveni,Davis Lewin,Tahleel Lateef,Jonathan Sacerdoti,,,,THBT is it Western Hypocrisy to Condemn Iran's Nuclear Aspirations William Callaghan John Chilcott Azadeh Moaveni Davis Lewin Tahleel Lateef Jonathan Sacerdoti  ,,,,,,,,,,
3/14/13,THBT New Labour Ruined Britain,386,64,186,136,Ben Quinnoly,Benjamin Kentish,John Redwood,Hazel Blears,Andrew Mitchell,Andy Burnham,,,,THBT New Labour Ruined Britain Ben Quinnoly Benjamin Kentish John Redwood Hazel Blears Andrew Mitchell Andy Burnham  ,,,,,,,,,,
2/28/13,TH Regrets the Consequences of US Dominance,247,118,73,56,Seumas Milne,Alan Mendoza,Mark Nelson,Rochard Ottaway,Jeremy Corbyn,Michael Levenstein,,,,TH Regrets the Consequences of US Dominance Seumas Milne Alan Mendoza Mark Nelson Rochard Ottaway Jeremy Corbyn Michael Levenstein  ,,,,,,,,,,
2/27/13,THW Fight for Queen and Country,288,89,154,45,Dan Jarvis,Michael Codner,Keith Smith,Stephen Hoseler (?),Kevan Jones,Tom Coughlan,,,,THW Fight for Queen and Country Dan Jarvis Michael Codner Keith Smith Stephen Hoseler (?) Kevan Jones Tom Coughlan  ,,,,,,,,,,
2/21/13,THBT Too Much Trust is Placed in Science,337,87,136,114,Alister McGrath,Tim Lewens,Julian Huppert,Jeremy Webb,Seb Falk,Stathis Psillos,,,,THBT Too Much Trust is Placed in Science Alister McGrath Tim Lewens Julian Huppert Jeremy Webb Seb Falk Stathis Psillos  ,,,,,,,,,,
2/14/13,THBT Sex Has Lost All Meaning,325,35,198,92,Zoe Strimpel,Benedict Garrett,Rachel Cunliffe,Sam Roddick,Paul Chaplin,Julienne Smolinski,,,,THBT Sex Has Lost All Meaning Zoe Strimpel Benedict Garrett Rachel Cunliffe Sam Roddick Paul Chaplin Julienne Smolinski  ,,,,,,,,,,
2/5/13,THBT the Commercial Establishment is Killing Creativity on Our Screens,211,65,102,44,Helen Simmons,Oliver Parker,Mike Newell,Poppy Damon,Caroline Frost,Andy Jordan,,,,THBT the Commercial Establishment is Killing Creativity on Our Screens Helen Simmons Oliver Parker Mike Newell Poppy Damon Caroline Frost Andy Jordan  ,,,,,,,,,,
1/31/13,THBT Religion Has No Place in the Twenty-First Century,548,138,324,86,Andrew Copson,Rowan Williams,Richard Dawkins,Tariq Ramadan,Arif Ahmed,Douglas Murray,,,,THBT Religion Has No Place in the Twenty-First Century Andrew Copson Rowan Williams Richard Dawkins Tariq Ramadan Arif Ahmed Douglas Murray  ,,,,,,,,,,
1/24/13,THBT Multiculturalism in Britain has Failed,364,67,192,105,Rami Ranger,Lucinda Platt,John Londi-,Parmijit Dhanda,Fletch Williams,Rex Obano,Leroy Logan,Paul Uppal,,THBT Multiculturalism in Britain has Failed Rami Ranger Lucinda Platt John Londi- Parmijit Dhanda Fletch Williams Rex Obano Leroy Logan Paul Uppal,,,,,,,,,,
1/17/13,THBT Oxbridge has Failed Britain,464,72,283,109,Amy Lonton-Rawsthorne,Olivia Williams,Stephen Grouard,Ken Warman,Nigel Warburton,Peter Chas,,,,THBT Oxbridge has Failed Britain Amy Lonton-Rawsthorne Olivia Williams Stephen Grouard Ken Warman Nigel Warburton Peter Chas  ,,,,,,,,,,
11/10/12,THBT the Music Industry is More Industry than Music,396,152,137,107,Arthur Boulton,Bruce Dickinson,Daniel Fruman,Austin Daboh,Pete Waterman,Colin Lester,Jazzie B,Andy Saunders,,THBT the Music Industry is More Industry than Music Arthur Boulton Bruce Dickinson Daniel Fruman Austin Daboh Pete Waterman Colin Lester Jazzie B Andy Saunders,,,,,,,,,,
10/25/12,THBT Class Runs Britain,511,279,106,126,Daniel Dorling,Sofi Abel,Martha Mory,Peter Saunders,Ken Livingstone,Peter Hamilton,,,,THBT Class Runs Britain Daniel Dorling Sofi Abel Martha Mory Peter Saunders Ken Livingstone Peter Hamilton  ,,,,,,,,,,
10/18/12,TH Has No Confidence in Her Majesty's Government,383,138,179,66,Yasmin Qureshi,Jenny Willitt,Emma Reynolds,Lembit Opik,Lucas Fear-Segal,Jacob Rees-Mogg,,,,TH Has No Confidence in Her Majesty's Government Yasmin Qureshi Jenny Willitt Emma Reynolds Lembit Opik Lucas Fear-Segal Jacob Rees-Mogg  ,,,,,,,,,,
10/5/12,TH has no confidence in the government's higher education policy,93,54,20,19,Pam Tatlow,Rob Wilson,Rushanara Ali,Nick Crawford,Ed Howker,Nicola Banbridge,,,,TH has no confidence in the government's higher education policy Pam Tatlow Rob Wilson Rushanara Ali Nick Crawford Ed Howker Nicola Banbridge  ,,,,,,,,,,
9/2/12,THBT the Arab Spring is a Threat to Global Stability,425,36,291,98,Faisal Abbas,Michael Reel,John Burns,Jeremy Corbyn,Barak Seener,Nonan Benotman,,,,THBT the Arab Spring is a Threat to Global Stability Faisal Abbas Michael Reel John Burns Jeremy Corbyn Barak Seener Nonan Benotman  ,,,,,,,,,,
8/11/12,THBT the Law is an Ass,426,190,52,184,Emma Sidds,Julius Handler,Alex Macheath,Clement,John Bailey,Richard Coates,,,,THBT the Law is an Ass Emma Sidds Julius Handler Alex Macheath Clement John Bailey Richard Coates  ,,,,,,,,,,
8/3/12,THBT the Judiciary Have Too Much Power and Not Enough Responsibility,181,19,152,10,Katie Lam,Shami Chakrabarti,Dominic Raab,Calum Macdonald,Hugo Rifkind,Dominic Griere,,,,THBT the Judiciary Have Too Much Power and Not Enough Responsibility Katie Lam Shami Chakrabarti Dominic Raab Calum Macdonald Hugo Rifkind Dominic Griere  ,,,,,,,,,,
6/14/12,THW disband the Liberal Democrat Party,98,23,66,9,Michael Black,Gordon Birtwhistle,Katie Lam,Ed Davey,David Davis,Lembit Opik,,,,THW disband the Liberal Democrat Party Michael Black Gordon Birtwhistle Katie Lam Ed Davey David Davis Lembit Opik  ,,,,,,,,,,
5/17/12,THBT Britain is Still a Racist Country,243,81,115,47,Chris Mullard,David Goodhart,Beran Pavell,Ismail Einashe,Joanna Mobed,Nick Hillman,Hughie Rose,David Aaronovitch,,THBT Britain is Still a Racist Country Chris Mullard David Goodhart Beran Pavell Ismail Einashe Joanna Mobed Nick Hillman Hughie Rose David Aaronovitch,,,,,,,,,,
4/26/12,THW decriminalise prostitution,263,118,78,67,Cat Stephens,Julie Bindel,Belinda Brooks-Gordon,Lisa Reynolds,Sara Walker,Jo Phoenix,,,,THW decriminalise prostitution Cat Stephens Julie Bindel Belinda Brooks-Gordon Lisa Reynolds Sara Walker Jo Phoenix  ,,,,,,,,,,
4/10/12,THBT Capitalism has Failed,516,193,253,70,Andrew Kliman,John Longworth,Leo Impett,Madsen Pirie,Robert Griffiths,Linda Yuel,,,,THBT Capitalism has Failed Andrew Kliman John Longworth Leo Impett Madsen Pirie Robert Griffiths Linda Yuel  ,,,,,,,,,,
3/5/12,"THBT those who can't do, teach",233,101,54,78,Pierre Novellie,Sam Gregson,Matty Bradley,Charlie Palmer,George Potts,Alan Shitman,,,,"THBT those who can't do, teach Pierre Novellie Sam Gregson Matty Bradley Charlie Palmer George Potts Alan Shitman  ",,,,,,,,,,
2/23/12,THW Legalise Euthanasia,309,176,92,41,Tom Curran,Baroness Finlay,Jeremy Purnis,Bishop Lee Rayfield,Joe Roussos,Robert Preston,Nick Ross,Lord Carlisle,,THW Legalise Euthanasia Tom Curran Baroness Finlay Jeremy Purnis Bishop Lee Rayfield Joe Roussos Robert Preston Nick Ross Lord Carlisle,,,,,,,,,,
1/26/12,THBT the Only Limit to Female Success is Female Ambition,550,,,,Liz Jones,Charlotte Vere,Steve Moxon,Katie Price,Rachel Johnson,Anna Stansbury,,,,THBT the Only Limit to Female Success is Female Ambition Liz Jones Charlotte Vere Steve Moxon Katie Price Rachel Johnson Anna Stansbury  ,,,,,,,,,,
1/11/12,THW Re-Elect Obama,420,322,51,47,Geoffrey Ml'ly,Ryan Bourne,Hadley Freeman,Alex Singleton,Anthony Badger,Robert Works,,,,THW Re-Elect Obama Geoffrey Ml'ly Ryan Bourne Hadley Freeman Alex Singleton Anthony Badger Robert Works  ,,,,,,,,,,
1/3/12,THBT Britain is no longer a capital for business,190,78,74,38,Damian Reece,Vicky Pryce,Macson Pirie,Jill Solomon,Willie Walsh,Edward Oakton,,,,THBT Britain is no longer a capital for business Damian Reece Vicky Pryce Macson Pirie Jill Solomon Willie Walsh Edward Oakton  ,,,,,,,,,,
12/5/11,THBT Classical Music is Irrelevant to Today's Youth,510,57,365,88,Joe Bates,Hugo Hickson,Kissy Sell Out,Ivan Hewett,Greg Sandow,Stephen Fry,Lord Eatwell,Suzy Digby,,THBT Classical Music is Irrelevant to Today's Youth Joe Bates Hugo Hickson Kissy Sell Out Ivan Hewett Greg Sandow Stephen Fry Lord Eatwell Suzy Digby,,,,,,,,,,
11/29/11,THBT Hate Speech is not a Human Right,124,49,22,53,Austin Mahler,Susi Joensu,Rupert Myers,Michael Harris,Michael Levenstein,Nigel Warburton,,,,THBT Hate Speech is not a Human Right Austin Mahler Susi Joensu Rupert Myers Michael Harris Michael Levenstein Nigel Warburton  ,,,,,,,,,,
11/24/11,THBT the West is Not Prepared for a World Dominated by the Rise of China,339,120,116,103,Hans de Ven,Xin Xin,Jasper Becker,Yuming Mei,Kenny Brown,Peter Nolan,,,,THBT the West is Not Prepared for a World Dominated by the Rise of China Hans de Ven Xin Xin Jasper Becker Yuming Mei Kenny Brown Peter Nolan  ,,,,,,,,,,
11/17/11,THBT There is No Future for Nuclear Power,262,69,164,29,Joe Roussos,Jackson Salovaera,Craig Bennett,Jean Llewellyn,Martin Horwood,Malcolm Grimston,,,,THBT There is No Future for Nuclear Power Joe Roussos Jackson Salovaera Craig Bennett Jean Llewellyn Martin Horwood Malcolm Grimston  ,,,,,,,,,,
10/27/11,THBT There is No Alternative to the Cuts,466,174,204,88,Alex Forzani,Rachel Reeves,Matthew Sinclair,Daniel Zeicher,Vince Cable,Adam Booth,,,,THBT There is No Alternative to the Cuts Alex Forzani Rachel Reeves Matthew Sinclair Daniel Zeicher Vince Cable Adam Booth  ,,,,,,,,,,
10/20/11,THBT God is Not a Delusion,601,243,229,129,Peter Williams,Andrew Copson,William Lane Craig,Arif Ahmed,,,,,,THBT God is Not a Delusion Peter Williams Andrew Copson William Lane Craig Arif Ahmed    ,,,,,,,,,,
10/13/11,THBT the Press Has Too Much Power and Not Enough Responsibility,459,272,126,61,Baroness O'Neill,Tabatha Leggett,Charlotte Harris,Guy Stagg,Brian Cathcart,Max Clifford,,,,THBT the Press Has Too Much Power and Not Enough Responsibility Baroness O'Neill Tabatha Leggett Charlotte Harris Guy Stagg Brian Cathcart Max Clifford  ,,,,,,,,,,
10/11/11,THBT Money is the Root of All Evil,458,395,23,40,Cambridge Footlights,Oxford Revue,,,,,,,,THBT Money is the Root of All Evil Cambridge Footlights Oxford Revue      ,,,,,,,,,,
10/3/11,THBT the Press Can't be Trusted to Behave Properly on Their Own,150,70,58,22,Gideon Benaim,Juliet Herd,Katy Brand,Patrick Hayes,Bobby Friedman,Lord Guy Black,,,,THBT the Press Can't be Trusted to Behave Properly on Their Own Gideon Benaim Juliet Herd Katy Brand Patrick Hayes Bobby Friedman Lord Guy Black  ,,,,,,,,,,
10/2/11,THW Not Get Married,238,57,122,59,Winston Preece,Richard Kane,Graham Nicholls,Anastasia de Waal,William Longrigy,Anne Atkins,,,,THW Not Get Married Winston Preece Richard Kane Graham Nicholls Anastasia de Waal William Longrigy Anne Atkins  ,,,,,,,,,,
6/16/11,THBT No Discrimination can Be Positive,190,72,74,44,Francesca Hill,Jan Bock,Julia,Angela Smith,Dominic,Baroness Afshar,,,,THBT No Discrimination can Be Positive Francesca Hill Jan Bock Julia Angela Smith Dominic Baroness Afshar  ,,,,,,,,,,
6/10/11,THBT the Government has Failed Britain's Youth,389,211,86,92,Gerard Tully,Crispin Blunt,Priya Gopal,Peter Hitchens,Nims Obunge,Gavin Barwell,,,,THBT the Government has Failed Britain's Youth Gerard Tully Crispin Blunt Priya Gopal Peter Hitchens Nims Obunge Gavin Barwell  ,,,,,,,,,,
5/19/11,THBT Honesty is the Best Policy,292,161,59,72,Cambridge Footlights,Oxford Revue,,,,,,,,THBT Honesty is the Best Policy Cambridge Footlights Oxford Revue      ,,,,,,,,,,
5/5/11,"THBT There Are No Freedom Fighters, Only Terrorists",212,26,119,67,Tim Collins,Jon-Selous Borlace,Sergey Nalobin,Rod Thornton,Maha Azzam,Matt Hazell,,,,"THBT There Are No Freedom Fighters, Only Terrorists Tim Collins Jon-Selous Borlace Sergey Nalobin Rod Thornton Maha Azzam Matt Hazell  ",,,,,,,,,,
4/28/11,THBT the State Must Have Its Secrets,187,98,47,42,David Omand,Ian Redhead,Mark Stephens,David Leigh,Richard Thomas,John Oxley,,,,THBT the State Must Have Its Secrets David Omand Ian Redhead Mark Stephens David Leigh Richard Thomas John Oxley  ,,,,,,,,,,
3/17/11,THBT the Veil Empowers Women,249,24,128,97,Lauren Davidson,Houriya Ahmed,Krista Bremer,Yaj Hagey,Nagihan Haliloglu,David Aaronovitch,,,,THBT the Veil Empowers Women Lauren Davidson Houriya Ahmed Krista Bremer Yaj Hagey Nagihan Haliloglu David Aaronovitch  ,,,,,,,,,,
3/11/11,THBT Foreign Aid has Done Africa more Harm than Good,449,148,207,94,Mara-Tafadzwa Makoni,Goylette Chami,Francesco Caselli,Anna Stansbury,Andrew Murenda,Paul Boateng,,,,THBT Foreign Aid has Done Africa more Harm than Good Mara-Tafadzwa Makoni Goylette Chami Francesco Caselli Anna Stansbury Andrew Murenda Paul Boateng  ,,,,,,,,,,
3/3/11,THW Rather a Nuclear Iran than War,267,90,100,77,Richard Dalton,Mervyn Frost,Michael Smith,Alan Mendoza,Scott Lucas,Douglass Murray,,,,THW Rather a Nuclear Iran than War Richard Dalton Mervyn Frost Michael Smith Alan Mendoza Scott Lucas Douglass Murray  ,,,,,,,,,,
3/2/11,TH Has No Confidence in Her Majesty's Government,551,275,164,112,David Lammy,Don Foster,Nigel Farage,Rupert Myers,David Blunkett,Andrew Mitchell,,,,TH Has No Confidence in Her Majesty's Government David Lammy Don Foster Nigel Farage Rupert Myers David Blunkett Andrew Mitchell  ,,,,,,,,,,
2/27/11,THBT the Path to Success is Straight,211,52,82,77,Monty M Bain,Chris Smith,Scott Rennie,Femi Otitoja,Craig Jones,Mark Simpson,,,,THBT the Path to Success is Straight Monty M Bain Chris Smith Scott Rennie Femi Otitoja Craig Jones Mark Simpson  ,,,,,,,,,,
2/17/11,THBT Pornography Does a Good Public Service,615,231,187,197,Anna Span,Gail Dines,Jessi Fischer,Richard Woolfson,Benedict Garrett,Shelley Lubben,,,,THBT Pornography Does a Good Public Service Anna Span Gail Dines Jessi Fischer Richard Woolfson Benedict Garrett Shelley Lubben  ,,,,,,,,,,
1/27/11,"THB in the spread of WLD, by Force Where Necessary",532,116,266,150,Norman Geros,Christopher Meyer,Gerard Tully,Simon Tisdall,Brendan O'Neill,Kerry Brown,,,,"THB in the spread of WLD, by Force Where Necessary Norman Geros Christopher Meyer Gerard Tully Simon Tisdall Brendan O'Neill Kerry Brown  ",,,,,,,,,,
1/20/11,THBT the BBC is Failing the Country,364,21,306,37,James Counsell,Sophie Lloyd,Roger Alton,Josh Sopel,Toni Davenport,Peter Bazalgette,,,,THBT the BBC is Failing the Country James Counsell Sophie Lloyd Roger Alton Josh Sopel Toni Davenport Peter Bazalgette  ,,,,,,,,,,
1/12/11,THW Decriminalise All Drugs,217,116,67,34,Calum Macdonald,Antonio Maria Costa,Sebastian Saville,Tim Hollis,Baroness Meacher,Lord Harris,,,,THW Decriminalise All Drugs Calum Macdonald Antonio Maria Costa Sebastian Saville Tim Hollis Baroness Meacher Lord Harris  ,,,,,,,,,,
12/11/10,THBT Love is a Myth,447,329,44,74,Cambridge Footlights,Oxford Revue,,,,,,,,THBT Love is a Myth Cambridge Footlights Oxford Revue      ,,,,,,,,,,
11/25/10,TH Hates Human Rights,403,52,236,115,Andy Hayman,Philip Murray,Charles Drummond,Isabella Sankey,Peter Hitchens,Latif Yahia,,,,TH Hates Human Rights Andy Hayman Philip Murray Charles Drummond Isabella Sankey Peter Hitchens Latif Yahia  ,,,,,,,,,,
11/18/10,THBT British Justice Punishes too Much and Understands Too Little,408,201,103,104,Erwin James,Simon Heffer,Riddhi Dasgupta,Ben Slingo,Frances Crook,Robert Buckland,,,,THBT British Justice Punishes too Much and Understands Too Little Erwin James Simon Heffer Riddhi Dasgupta Ben Slingo Frances Crook Robert Buckland  ,,,,,,,,,,
11/4/10,THBT Reality TV Represents Everything Wretched About Britain Today,234,93,88,53,Jonathan Laurence,Zoe Griffin,Mark Borkowski,James McQuillon,Max Clifford,Hugo Rifkind,,,,THBT Reality TV Represents Everything Wretched About Britain Today Jonathan Laurence Zoe Griffin Mark Borkowski James McQuillon Max Clifford Hugo Rifkind  ,,,,,,,,,,
11/3/10,THW Ban Educational Institutions from Accepting Corporate Sponsorship,149,34,81,34,Natalie Szarek,Nick Hillman,Daniel Randall,Janet Turner,Matt Waddup,Madsen Pirie,Daniel Randall,,,THW Ban Educational Institutions from Accepting Corporate Sponsorship Natalie Szarek Nick Hillman Daniel Randall Janet Turner Matt Waddup Madsen Pirie Daniel Randall ,,,,,,,,,,
10/28/10,THBT the Free Market has Failed,323,117,130,76,Gabriel Palma,D Madsen Piric,Luke Hawksbee,Ben Watts,Peter Tatchell,Alex Deane,,,,THBT the Free Market has Failed Gabriel Palma D Madsen Piric Luke Hawksbee Ben Watts Peter Tatchell Alex Deane  ,,,,,,,,,,
10/21/10,THBT Israel is a Rogue State,546,174,248,124,Lauren Booth,Shiraz Maher,Gabriel Latner,Paul Livingston,Mark McDonald,Ran Gidor,,,,THBT Israel is a Rogue State Lauren Booth Shiraz Maher Gabriel Latner Paul Livingston Mark McDonald Ran Gidor  ,,,,,,,,,,
10/14/10,THBT the work of Feminism is Just Beginning,447,277,72,98,Sarah Peters-Harrison,Baraka Khan,Bonnie Greer,Matt O'Connor,Zahra Moosa,Erin Pizzey,,,,THBT the work of Feminism is Just Beginning Sarah Peters-Harrison Baraka Khan Bonnie Greer Matt O'Connor Zahra Moosa Erin Pizzey  ,,,,,,,,,,
10/6/10,THBT Spin is an Essential Part of a Healthy Democracy,72,39,33,0,Andrew Chapman,Andrew Porter,Lance Price,Bernard INgham,Michael Crick,Simon Lewis,,,,THBT Spin is an Essential Part of a Healthy Democracy Andrew Chapman Andrew Porter Lance Price Bernard INgham Michael Crick Simon Lewis  ,,,,,,,,,,
7/10/10,THW Abolish All Public Schools,400,142,141,117,Ros Buckland,Jonathan Shephard,Robert Griffiths,Duncan Evans,Brett Wigdortz,Peter Hamilton,,,,THW Abolish All Public Schools Ros Buckland Jonathan Shephard Robert Griffiths Duncan Evans Brett Wigdortz Peter Hamilton  ,,,,,,,,,,
6/5/10,TH Wouldn't Bother Voting Because They're All Tossers Anyway,528,413,93,22,Cambridge Footlights,Oxford Revue,,,,,,,,TH Wouldn't Bother Voting Because They're All Tossers Anyway Cambridge Footlights Oxford Revue      ,,,,,,,,,,
5/10/10,THBT Islam is a Threat to the West,481,61,198,222,Stephen Gash,Idris Tawfig,Robert Van't Hoff,Farah Jassat,Arrash Yassaee,Abdullah Al-Andalusi,,,,THBT Islam is a Threat to the West Stephen Gash Idris Tawfig Robert Van't Hoff Farah Jassat Arrash Yassaee Abdullah Al-Andalusi  ,,,,,,,,,,
