Design,Cost,Utility to Science,Failed Downtime,Servicing Margin
45,0.10645329,0.019723584,0.041276869,0.713599955
46,0.066449417,0.011131756,0.078598859,0.778394812
47,0.004193973,0.005272056,0.268543868,0.882928758
48,0.236297666,0.693163612,0.529290967,0.255649784
49,0.89380467,0.948672398,0.026447191,0.211590411
50,0.709966018,0.649990491,0.064683964,0.194130437
51,0.914346124,1.70E-06,0.026447191,0.067100891
52,0.467141957,0.348676165,0.026447191,0.263876208
53,0.069907288,0.192203599,0.492794128,0.332492494
54,0.168873344,0.027880267,0.026447191,0.729412761
55,0.165983696,0.657145428,0.576854061,0.154701957
56,0.226901798,0.203275615,0.115210714,0.288320172
57,0.156159774,0.046380929,0.026447191,0.719859191
58,0.836989484,0.954317795,0.026447191,0.182732039
59,0.859215913,0.016561105,0.026447191,0.101098425
60,0.487170577,0.033899096,0.103870497,0.028227742
61,0.153068797,0.029748703,0.026447191,0.72605254
62,0.595431451,0.721947246,0.074955792,0.206121815
63,0.396860244,0.00105413,0.116956249,0.096128686
64,0.330203181,0.197972768,0.04431914,0.306307239
65,0.034400987,0.083792682,0.493810908,0.463804674
66,0.027695179,0.106492685,0.556484523,0.511497228
67,0.07447274,0.011800103,0.07220122,0.781444425
68,0.021164765,0.016063345,0.192502174,0.791892172
69,0.064644999,0.041364246,0.084508709,0.767636456
70,0.013057045,0.020040623,0.23248045,0.782630385
71,0.766575664,0.996972777,0.026447191,0.211722184
72,0.129527365,0.664835043,0.546314075,0.253917905
73,0.108252084,0.618105996,0.646598293,0.284112836
74,0.403279851,0.008191684,0.114136942,0.11564056
75,0.066734937,0.241793019,0.421135313,0.648061519
76,0.028103276,0.099309357,0.541035853,0.441139652
77,0.316062458,0.17253029,0.048817962,0.380297996
78,0.016743594,0.115637578,0.665881396,0.354451587
79,0.070499617,0.035970791,0.07650974,0.753922611
80,0.004038726,0.00613321,0.277665964,0.834003181
81,0.106621898,0.020205485,0.042993119,0.815592557
82,0.058122627,0.022219105,0.093145942,0.826830944
83,0.132568197,0.580098421,0.514902728,0.304744783
84,0.487457373,0.619642675,0.095340892,0.182637915
